CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,QB,Dak Prescott (14741544),Dak Prescott,14741544,CPT,16500,PIT@DAL 07/09/2020 04:00PM ET,DAL,18
,,,,,,,QB,Ben Roethlisberger (14741545),Ben Roethlisberger,14741545,CPT,15900,PIT@DAL 07/09/2020 04:00PM ET,PIT,17.93
,,,,,,,RB,Ezekiel Elliott (14741546),Ezekiel Elliott,14741546,CPT,15000,PIT@DAL 07/09/2020 04:00PM ET,DAL,15.66
,,,,,,,WR,JuJu Smith-Schuster (14741547),JuJu Smith-Schuster,14741547,CPT,14100,PIT@DAL 07/09/2020 04:00PM ET,PIT,16.2
,,,,,,,WR,Amari Cooper (14741548),Amari Cooper,14741548,CPT,13200,PIT@DAL 07/09/2020 04:00PM ET,DAL,11.76
,,,,,,,TE,Vance McDonald (14741549),Vance McDonald,14741549,CPT,12300,PIT@DAL 07/09/2020 04:00PM ET,PIT,12.32
,,,,,,,RB,James Conner (14741550),James Conner,14741550,CPT,11400,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.42
,,,,,,,QB,Dak Prescott (14741502),Dak Prescott,14741502,FLEX,11000,PIT@DAL 07/09/2020 04:00PM ET,DAL,18
,,,,,,,QB,Ben Roethlisberger (14741503),Ben Roethlisberger,14741503,FLEX,10600,PIT@DAL 07/09/2020 04:00PM ET,PIT,17.93
,,,,,,,WR,Michael Gallup (14741551),Michael Gallup,14741551,CPT,10200,PIT@DAL 07/09/2020 04:00PM ET,DAL,6.69
,,,,,,,RB,Ezekiel Elliott (14741504),Ezekiel Elliott,14741504,FLEX,10000,PIT@DAL 07/09/2020 04:00PM ET,DAL,15.66
,,,,,,,TE,Jason Witten (14741552),Jason Witten,14741552,CPT,9600,PIT@DAL 07/09/2020 04:00PM ET,DAL,10.16
,,,,,,,WR,JuJu Smith-Schuster (14741505),JuJu Smith-Schuster,14741505,FLEX,9400,PIT@DAL 07/09/2020 04:00PM ET,PIT,16.2
,,,,,,,QB,Mason Rudolph (14741553),Mason Rudolph,14741553,CPT,9000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,QB,Cooper Rush (14741554),Cooper Rush,14741554,CPT,9000,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,QB,Devlin Hodges (14741555),Devlin Hodges,14741555,CPT,9000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,QB,Paxton Lynch (14741556),Paxton Lynch,14741556,CPT,9000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Amari Cooper (14741506),Amari Cooper,14741506,FLEX,8800,PIT@DAL 07/09/2020 04:00PM ET,DAL,11.76
,,,,,,,WR,James Washington (14741557),James Washington,14741557,CPT,8400,PIT@DAL 07/09/2020 04:00PM ET,PIT,11.74
,,,,,,,TE,Vance McDonald (14741507),Vance McDonald,14741507,FLEX,8200,PIT@DAL 07/09/2020 04:00PM ET,PIT,12.32
,,,,,,,RB,James Conner (14741508),James Conner,14741508,FLEX,7600,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.42
,,,,,,,WR,Diontae Johnson (14741558),Diontae Johnson,14741558,CPT,7500,PIT@DAL 07/09/2020 04:00PM ET,PIT,10.2
,,,,,,,WR,Randall Cobb (14741559),Randall Cobb,14741559,CPT,6900,PIT@DAL 07/09/2020 04:00PM ET,DAL,7.15
,,,,,,,WR,Michael Gallup (14741509),Michael Gallup,14741509,FLEX,6800,PIT@DAL 07/09/2020 04:00PM ET,DAL,6.69
,,,,,,,TE,Jason Witten (14741510),Jason Witten,14741510,FLEX,6400,PIT@DAL 07/09/2020 04:00PM ET,DAL,10.16
,,,,,,,DST,Cowboys  (14741560),Cowboys ,14741560,CPT,6300,PIT@DAL 07/09/2020 04:00PM ET,DAL,6.78
,,,,,,,QB,Mason Rudolph (14741511),Mason Rudolph,14741511,FLEX,6000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,QB,Cooper Rush (14741512),Cooper Rush,14741512,FLEX,6000,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,QB,Devlin Hodges (14741513),Devlin Hodges,14741513,FLEX,6000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,QB,Paxton Lynch (14741514),Paxton Lynch,14741514,FLEX,6000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,K,Kai Forbath (14741561),Kai Forbath,14741561,CPT,6000,PIT@DAL 07/09/2020 04:00PM ET,DAL,5.88
,,,,,,,K,Chris Boswell (14741562),Chris Boswell,14741562,CPT,5700,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.74
,,,,,,,WR,James Washington (14741515),James Washington,14741515,FLEX,5600,PIT@DAL 07/09/2020 04:00PM ET,PIT,11.74
,,,,,,,DST,Steelers  (14741563),Steelers ,14741563,CPT,5400,PIT@DAL 07/09/2020 04:00PM ET,PIT,5.28
,,,,,,,RB,Jaylen Samuels (14741564),Jaylen Samuels,14741564,CPT,5100,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.13
,,,,,,,WR,Diontae Johnson (14741516),Diontae Johnson,14741516,FLEX,5000,PIT@DAL 07/09/2020 04:00PM ET,PIT,10.2
,,,,,,,RB,Tony Pollard (14741565),Tony Pollard,14741565,CPT,4800,PIT@DAL 07/09/2020 04:00PM ET,DAL,3.05
,,,,,,,WR,Randall Cobb (14741517),Randall Cobb,14741517,FLEX,4600,PIT@DAL 07/09/2020 04:00PM ET,DAL,7.15
,,,,,,,RB,Benny Snell Jr. (14741566),Benny Snell Jr.,14741566,CPT,4500,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,DST,Cowboys  (14741518),Cowboys ,14741518,FLEX,4200,PIT@DAL 07/09/2020 04:00PM ET,DAL,6.78
,,,,,,,TE,Blake Jarwin (14741567),Blake Jarwin,14741567,CPT,4200,PIT@DAL 07/09/2020 04:00PM ET,DAL,3.79
,,,,,,,K,Kai Forbath (14741519),Kai Forbath,14741519,FLEX,4000,PIT@DAL 07/09/2020 04:00PM ET,DAL,5.88
,,,,,,,WR,Tavon Austin (14741568),Tavon Austin,14741568,CPT,3900,PIT@DAL 07/09/2020 04:00PM ET,DAL,1.21
,,,,,,,K,Chris Boswell (14741520),Chris Boswell,14741520,FLEX,3800,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.74
,,,,,,,DST,Steelers  (14741521),Steelers ,14741521,FLEX,3600,PIT@DAL 07/09/2020 04:00PM ET,PIT,5.28
,,,,,,,WR,Ryan Switzer (14741569),Ryan Switzer,14741569,CPT,3600,PIT@DAL 07/09/2020 04:00PM ET,PIT,10.3
,,,,,,,RB,Jaylen Samuels (14741522),Jaylen Samuels,14741522,FLEX,3400,PIT@DAL 07/09/2020 04:00PM ET,PIT,6.13
,,,,,,,WR,Noah Brown (14741570),Noah Brown,14741570,CPT,3300,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,RB,Tony Pollard (14741523),Tony Pollard,14741523,FLEX,3200,PIT@DAL 07/09/2020 04:00PM ET,DAL,3.05
,,,,,,,RB,Benny Snell Jr. (14741524),Benny Snell Jr.,14741524,FLEX,3000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,TE,Nick Vannett (14741571),Nick Vannett,14741571,CPT,3000,PIT@DAL 07/09/2020 04:00PM ET,PIT,2.91
,,,,,,,TE,Blake Jarwin (14741525),Blake Jarwin,14741525,FLEX,2800,PIT@DAL 07/09/2020 04:00PM ET,DAL,3.79
,,,,,,,WR,Johnny Holton (14741572),Johnny Holton,14741572,CPT,2700,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Devin Smith (14741573),Devin Smith,14741573,CPT,2700,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Tavon Austin (14741526),Tavon Austin,14741526,FLEX,2600,PIT@DAL 07/09/2020 04:00PM ET,DAL,1.21
,,,,,,,WR,Ryan Switzer (14741527),Ryan Switzer,14741527,FLEX,2400,PIT@DAL 07/09/2020 04:00PM ET,PIT,10.3
,,,,,,,RB,Jamize Olawale (14741574),Jamize Olawale,14741574,CPT,2400,PIT@DAL 07/09/2020 04:00PM ET,DAL,2.63
,,,,,,,WR,Deon Cain (14741575),Deon Cain,14741575,CPT,2400,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Noah Brown (14741528),Noah Brown,14741528,FLEX,2200,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Cedrick Wilson (14741576),Cedrick Wilson,14741576,CPT,2100,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Amara Darboh (14741577),Amara Darboh,14741577,CPT,2100,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,TE,Nick Vannett (14741529),Nick Vannett,14741529,FLEX,2000,PIT@DAL 07/09/2020 04:00PM ET,PIT,2.91
,,,,,,,WR,Johnny Holton (14741530),Johnny Holton,14741530,FLEX,1800,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Devin Smith (14741531),Devin Smith,14741531,FLEX,1800,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,TE,Dalton Schultz (14741578),Dalton Schultz,14741578,CPT,1800,PIT@DAL 07/09/2020 04:00PM ET,DAL,4.45
,,,,,,,TE,Zach Gentry (14741579),Zach Gentry,14741579,CPT,1800,PIT@DAL 07/09/2020 04:00PM ET,PIT,2.31
,,,,,,,RB,Jamize Olawale (14741532),Jamize Olawale,14741532,FLEX,1600,PIT@DAL 07/09/2020 04:00PM ET,DAL,2.63
,,,,,,,WR,Deon Cain (14741533),Deon Cain,14741533,FLEX,1600,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,RB,Trey Edmunds (14741580),Trey Edmunds,14741580,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,RB,Roosevelt Nix (14741581),Roosevelt Nix,14741581,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,RB,Kerrith Whyte Jr. (14741582),Kerrith Whyte Jr.,14741582,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Jon'Vea Johnson (14741583),Jon'Vea Johnson,14741583,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Lance Lenoir Jr. (14741584),Lance Lenoir Jr.,14741584,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Ventell Bryant (14741585),Ventell Bryant,14741585,CPT,1500,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Cedrick Wilson (14741534),Cedrick Wilson,14741534,FLEX,1400,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Amara Darboh (14741535),Amara Darboh,14741535,FLEX,1400,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,TE,Dalton Schultz (14741536),Dalton Schultz,14741536,FLEX,1200,PIT@DAL 07/09/2020 04:00PM ET,DAL,4.45
,,,,,,,TE,Zach Gentry (14741537),Zach Gentry,14741537,FLEX,1200,PIT@DAL 07/09/2020 04:00PM ET,PIT,2.31
,,,,,,,RB,Trey Edmunds (14741538),Trey Edmunds,14741538,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,RB,Roosevelt Nix (14741539),Roosevelt Nix,14741539,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,RB,Kerrith Whyte Jr. (14741540),Kerrith Whyte Jr.,14741540,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,PIT,0
,,,,,,,WR,Jon'Vea Johnson (14741541),Jon'Vea Johnson,14741541,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Lance Lenoir Jr. (14741542),Lance Lenoir Jr.,14741542,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,DAL,0
,,,,,,,WR,Ventell Bryant (14741543),Ventell Bryant,14741543,FLEX,1000,PIT@DAL 07/09/2020 04:00PM ET,DAL,0