fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,player,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,team,position,source,pname_merge
4,,,,,,Christian McCaffrey,114.0,5.0,969.0,246.0,9.0,1134.0,CAR,RB,cbs_sports,christianmccaffrey
3,,,,,,Saquon Barkley,79.0,3.0,630.0,270.0,10.0,1238.0,NYG,RB,cbs_sports,saquonbarkley
4,,,,,,Ezekiel Elliott,72.0,3.0,585.0,286.0,9.0,1299.0,DAL,RB,cbs_sports,ezekielelliott
3,,,,,,Derrick Henry,18.0,1.0,159.0,302.0,11.0,1586.0,TEN,RB,cbs_sports,derrickhenry
3,,,,,,Dalvin Cook,53.0,1.0,478.0,274.0,11.0,1211.0,MIN,RB,cbs_sports,dalvincook
3,,,,,,Alvin Kamara,96.0,2.0,710.0,209.0,8.0,974.0,NO,RB,cbs_sports,alvinkamara
3,,,,,,Clyde Edwards-Helaire,49.0,4.0,571.0,182.0,10.0,810.0,KC,RB,cbs_sports,clydeedwardshelaire
3,,,,,,Josh Jacobs,37.0,0.0,312.0,277.0,10.0,1299.0,LV,RB,cbs_sports,joshjacobs
3,,,,,,Nick Chubb,16.0,1.0,132.0,261.0,9.0,1335.0,CLE,RB,cbs_sports,nickchubb
3,,,,,,Joe Mixon,44.0,2.0,338.0,270.0,8.0,1105.0,CIN,RB,cbs_sports,joemixon
2,,,,,,Austin Ekele,62.0,5.0,673.0,161.0,4.0,728.0,LAC,RB,cbs_sports,austinekele
2,,,,,,Aaron Jones,38.0,2.0,332.0,194.0,11.0,816.0,GB,RB,cbs_sports,aaronjones
3,,,,,,Miles Sanders,58.0,3.0,592.0,207.0,4.0,935.0,PHI,RB,cbs_sports,milessanders
2,,,,,,Kenyan Drake,60.0,3.0,453.0,166.0,8.0,714.0,ARI,RB,cbs_sports,kenyandrake
3,,,,,,Chris Carson,26.0,1.0,189.0,235.0,8.0,1045.0,SEA,RB,cbs_sports,chriscarson
3,,,,,,James Conne,38.0,2.0,312.0,223.0,7.0,915.0,PIT,RB,cbs_sports,jamesconne
2,,,,,,Todd Gurley,47.0,3.0,349.0,193.0,7.0,752.0,ATL,RB,cbs_sports,toddgurley
2,,,,,,David Johnson,40.0,4.0,429.0,199.0,4.0,771.0,HOU,RB,cbs_sports,davidjohnson
2,,,,,,Melvin Gordon,48.0,2.0,397.0,163.0,8.0,657.0,DEN,RB,cbs_sports,melvingordon
2,,,,,,Mark Ingram,22.0,3.0,197.0,169.0,6.0,898.0,BAL,RB,cbs_sports,markingram
3,,,,,,Le'Veon Bell,67.0,1.0,495.0,226.0,5.0,773.0,NYJ,RB,cbs_sports,leveonbell
2,,,,,,Raheem Mostert,14.0,1.0,131.0,153.0,8.0,893.0,SF,RB,cbs_sports,raheemmostert
3,,,,,,Jonathan Taylo,19.0,1.0,208.0,196.0,6.0,890.0,IND,RB,cbs_sports,jonathantaylo
3,,,,,,Cam Akers,34.0,1.0,339.0,183.0,7.0,699.0,LAR,RB,cbs_sports,camakers
2,,,,,,Kareem Hunt,33.0,3.0,344.0,122.0,6.0,551.0,CLE,RB,cbs_sports,kareemhunt
2,,,,,,David Montgomery,20.0,1.0,159.0,227.0,7.0,785.0,CHI,RB,cbs_sports,davidmontgomery
3,,,,,,J.K. Dobbins,14.0,1.0,134.0,171.0,5.0,928.0,BAL,RB,cbs_sports,jkdobbins
2,,,,,,Marlon Mack,15.0,0.0,87.0,198.0,7.0,872.0,IND,RB,cbs_sports,marlonmack
3,,,,,,Zack Moss,18.0,1.0,171.0,184.0,5.0,894.0,BUF,RB,cbs_sports,zackmoss
3,,,,,,Antonio Gibson,46.0,2.0,388.0,157.0,4.0,667.0,WAS,RB,cbs_sports,antoniogibson
2,,,,,,Devin Singletary,39.0,2.0,297.0,148.0,3.0,796.0,BUF,RB,cbs_sports,devinsingletary
2,,,,,,Phillip Lindsay,45.0,1.0,298.0,159.0,5.0,707.0,DEN,RB,cbs_sports,philliplindsay
2,,,,,,Leonard Fournette,22.0,0.0,197.0,179.0,9.0,617.0,TB,RB,cbs_sports,leonardfournette
2,,,,,,Jordan Howard,20.0,1.0,150.0,184.0,7.0,714.0,MIA,RB,cbs_sports,jordanhoward
3,,,,,,D'Andre Swift,34.0,2.0,398.0,142.0,4.0,601.0,DET,RB,cbs_sports,dandreswift
2,,,,,,Tarik Cohen,76.0,4.0,602.0,102.0,2.0,361.0,CHI,RB,cbs_sports,tarikcohen
2,,,,,,Matt Breida,41.0,2.0,313.0,151.0,3.0,678.0,MIA,RB,cbs_sports,mattbreida
2,,,,,,Ronald Jones,24.0,0.0,223.0,168.0,6.0,656.0,TB,RB,cbs_sports,ronaldjones
2,,,,,,Tevin Coleman,10.0,1.0,90.0,169.0,5.0,754.0,SF,RB,cbs_sports,tevincoleman
2,,,,,,Kerryon Johnson,30.0,1.0,252.0,144.0,5.0,616.0,DET,RB,cbs_sports,kerryonjohnson
2,,,,,,Latavius Murray,26.0,0.0,176.0,153.0,6.0,657.0,NO,RB,cbs_sports,lataviusmurray
1,,,,,,James White,63.0,4.0,544.0,76.0,2.0,287.0,NE,RB,cbs_sports,jameswhite
2,,,,,,Jerick McKinnon,23.0,1.0,238.0,121.0,4.0,562.0,SF,RB,cbs_sports,jerickmckinnon
1,,,,,,Duke Johnson,32.0,2.0,281.0,106.0,2.0,552.0,HOU,RB,cbs_sports,dukejohnson
2,,,,,,Sony Michel,7.0,0.0,52.0,177.0,5.0,650.0,NE,RB,cbs_sports,sonymichel
2,,,,,,Tony Pollard,28.0,2.0,195.0,113.0,3.0,551.0,DAL,RB,cbs_sports,tonypollard
1,,,,,,Chase Edmonds,21.0,1.0,136.0,112.0,5.0,468.0,ARI,RB,cbs_sports,chaseedmonds
2,,,,,,Alexander Mattison,5.0,0.0,43.0,155.0,3.0,696.0,MIN,RB,cbs_sports,alexandermattison
2,,,,,,Joshua Kelley,3.0,0.0,36.0,139.0,5.0,583.0,LAC,RB,cbs_sports,joshuakelley
1,,,,,,Malcolm Brown,12.0,2.0,114.0,118.0,4.0,432.0,LAR,RB,cbs_sports,malcolmbrown
2,,,,,,A.J. Dillon,4.0,0.0,36.0,129.0,5.0,549.0,GB,RB,cbs_sports,ajdillon
2,,,,,,Boston Scott,36.0,0.0,313.0,85.0,5.0,335.0,PHI,RB,cbs_sports,bostonscott
2,,,,,,Darrell Henderson,18.0,1.0,173.0,141.0,3.0,499.0,LAR,RB,cbs_sports,darrellhenderson
2,,,,,,James Robinson,26.0,1.0,242.0,113.0,2.0,470.0,JAC,RB,cbs_sports,jamesrobinson
2,,,,,,Darrel Williams,12.0,1.0,127.0,104.0,6.0,330.0,KC,RB,cbs_sports,darrelwilliams
1,,,,,,Ito Smith,32.0,0.0,197.0,101.0,5.0,354.0,ATL,RB,cbs_sports,itosmith
2,,,,,,Devine Ozigbo,26.0,1.0,238.0,112.0,2.0,458.0,JAC,RB,cbs_sports,devineozigbo
3,,,,,,Jalen Richard,37.0,0.0,339.0,93.0,2.0,409.0,LV,RB,cbs_sports,jalenrichard
2,,,,,,Bryce Love,20.0,1.0,171.0,110.0,3.0,441.0,WAS,RB,cbs_sports,brycelove
1,,,,,,Mike Davis,24.0,0.0,137.0,97.0,4.0,423.0,CAR,RB,cbs_sports,mikedavis
1,,,,,,Nyheim Hines,51.0,1.0,373.0,62.0,2.0,235.0,IND,RB,cbs_sports,nyheimhines
1,,,,,,Benny Snell,2.0,0.0,18.0,131.0,3.0,498.0,PIT,RB,cbs_sports,bennysnell
2,,,,,,Darrynton Evans,24.0,1.0,250.0,78.0,2.0,353.0,TEN,RB,cbs_sports,darryntonevans
1,,,,,,Giovani Bernard,38.0,0.0,272.0,93.0,3.0,296.0,CIN,RB,cbs_sports,giovanibernard
1,,,,,,Ryquell Armstead,13.0,2.0,136.0,102.0,2.0,332.0,JAC,RB,cbs_sports,ryquellarmstead
1,,,,,,DeeJay Dallas,26.0,1.0,262.0,58.0,2.0,262.0,SEA,RB,cbs_sports,deejaydallas
1,,,,,,Chris Thompson,47.0,1.0,376.0,53.0,1.0,198.0,JAC,RB,cbs_sports,christhompson
1,,,,,,Gus Edwards,5.0,0.0,34.0,86.0,2.0,470.0,BAL,RB,cbs_sports,gusedwards
2,,,,,,Damien Harris,6.0,0.0,55.0,116.0,3.0,426.0,NE,RB,cbs_sports,damienharris
1,,,,,,Frank Gore,13.0,0.0,110.0,119.0,2.0,361.0,NYJ,RB,cbs_sports,frankgore
1,,,,,,Jamaal Williams,25.0,2.0,170.0,68.0,1.0,252.0,GB,RB,cbs_sports,jamaalwilliams
1,,,,,,Carlos Hyde,5.0,0.0,21.0,90.0,2.0,357.0,SEA,RB,cbs_sports,carloshyde
1,,,,,,Kyle Juszczyk,32.0,2.0,352.0,9.0,0.0,30.0,SF,FB,cbs_sports,kylejuszczyk
1,,,,,,Dion Lewis,36.0,1.0,220.0,68.0,1.0,209.0,NYG,RB,cbs_sports,dionlewis
1,,,,,,Rex Burkhead,21.0,0.0,200.0,64.0,2.0,222.0,NE,RB,cbs_sports,rexburkhead
1,,,,,,Adrian Peterson,4.0,0.0,41.0,86.0,2.0,331.0,WAS,RB,cbs_sports,adrianpeterson
1,,,,,,Justin Jackson,13.0,0.0,93.0,74.0,1.0,350.0,LAC,RB,cbs_sports,justinjackson
1,,,,,,Rashaad Penny,6.0,0.0,62.0,63.0,2.0,310.0,SEA,RB,cbs_sports,rashaadpenny
1,,,,,,Peyton Barbe,7.0,0.0,31.0,67.0,2.0,242.0,WAS,RB,cbs_sports,peytonbarbe
1,,,,,,Justice Hill,9.0,0.0,73.0,56.0,2.0,213.0,BAL,RB,cbs_sports,justicehill
1,,,,,,Anthony McFarland,15.0,1.0,130.0,45.0,1.0,168.0,PIT,RB,cbs_sports,anthonymcfarland
0,,,,,,Andy Janovich,11.0,2.0,154.0,3.0,1.0,6.0,CLE,RB,cbs_sports,andyjanovich
1,,,,,,Royce Freeman,22.0,1.0,136.0,38.0,1.0,136.0,DEN,RB,cbs_sports,roycefreeman
1,,,,,,J.D. McKissic,19.0,1.0,107.0,39.0,0.0,195.0,WAS,RB,cbs_sports,jdmckissic
1,,,,,,Corey Clement,10.0,0.0,87.0,41.0,1.0,177.0,PHI,RB,cbs_sports,coreyclement
0,,,,,,Jeff Wilson,1.0,0.0,11.0,35.0,2.0,142.0,SF,RB,cbs_sports,jeffwilson
1,,,,,,Darwin Thompson,11.0,0.0,51.0,52.0,1.0,185.0,KC,RB,cbs_sports,darwinthompson
0,,,,,,Qadree Ollison,1.0,0.0,10.0,25.0,2.0,71.0,ATL,RB,cbs_sports,qadreeollison
0,,,,,,Devontae Booke,8.0,0.0,64.0,27.0,1.0,138.0,LV,RB,cbs_sports,devontaebooke
0,,,,,,J.J. Taylo,3.0,0.0,34.0,39.0,1.0,145.0,NE,RB,cbs_sports,jjtaylo
0,,,,,,Rico Dowdle,4.0,0.0,42.0,32.0,1.0,145.0,DAL,RB,cbs_sports,ricodowdle
0,,,,,,D'Ernest Johnson,6.0,0.0,66.0,21.0,1.0,98.0,CLE,RB,cbs_sports,dernestjohnson
0,,,,,,Ty Montgomery,9.0,0.0,71.0,21.0,1.0,87.0,NO,RB,cbs_sports,tymontgomery
0,,,,,,Alex Armah,4.0,0.0,15.0,14.0,2.0,26.0,CAR,FB,cbs_sports,alexarmah
0,,,,,,Chandler Cox,12.0,1.0,86.0,15.0,0.0,54.0,MIA,FB,cbs_sports,chandlercox
0,,,,,,Eno Benjamin,4.0,0.0,34.0,25.0,1.0,114.0,ARI,RB,cbs_sports,enobenjamin
0,,,,,,Ke'Shawn Vaughn,1.0,0.0,16.0,31.0,1.0,117.0,TB,RB,cbs_sports,keshawnvaughn
0,,,,,,LeSean McCoy,2.0,0.0,17.0,31.0,1.0,103.0,TB,RB,cbs_sports,leseanmccoy
0,,,,,,Wayne Gallman,4.0,0.0,31.0,25.0,1.0,85.0,NYG,RB,cbs_sports,waynegallman
0,,,,,,Malcolm Perry,4.0,0.0,38.0,26.0,1.0,99.0,MIA,RB,cbs_sports,malcolmperry
1,,,,,,Michael Thomas,136.0,9.0,1608.0,0.0,0.0,-3.0,NO,WR,cbs_sports,michaelthomas
1,,,,,,Davante Adams,110.0,11.0,1422.0,0.0,0.0,0.0,GB,WR,cbs_sports,davanteadams
1,,,,,,Julio Jones,114.0,6.0,1570.0,2.0,0.0,4.0,ATL,WR,cbs_sports,juliojones
1,,,,,,Tyreek Hill,86.0,9.0,1266.0,17.0,1.0,106.0,KC,WR,cbs_sports,tyreekhill
1,,,,,,Kenny Golladay,69.0,9.0,1237.0,1.0,0.0,5.0,DET,WR,cbs_sports,kennygolladay
1,,,,,,Cooper Kupp,89.0,10.0,1087.0,4.0,0.0,17.0,LAR,WR,cbs_sports,cooperkupp
1,,,,,,DeAndre Hopkins,102.0,8.0,1184.0,1.0,0.0,4.0,ARI,WR,cbs_sports,deandrehopkins
1,,,,,,Chris Godwin,75.0,8.0,1172.0,1.0,0.0,5.0,TB,WR,cbs_sports,chrisgodwin
1,,,,,,Mike Evans,66.0,7.0,1211.0,0.0,0.0,0.0,TB,WR,cbs_sports,mikeevans
1,,,,,,Tyler Lockett,75.0,8.0,1126.0,8.0,0.0,28.0,SEA,WR,cbs_sports,tylerlockett
1,,,,,,Adam Thielen,75.0,8.0,1053.0,7.0,1.0,26.0,MIN,WR,cbs_sports,adamthielen
1,,,,,,A.J. Brown,57.0,7.0,1079.0,4.0,1.0,61.0,TEN,WR,cbs_sports,ajbrown
1,,,,,,JuJu Smith-Schuste,90.0,6.0,1200.0,1.0,0.0,8.0,PIT,WR,cbs_sports,jujusmithschuste
1,,,,,,Calvin Ridley,80.0,9.0,1011.0,4.0,0.0,31.0,ATL,WR,cbs_sports,calvinridley
1,,,,,,Amari Coope,72.0,8.0,1056.0,2.0,0.0,14.0,DAL,WR,cbs_sports,amaricoope
1,,,,,,Keenan Allen,91.0,6.0,1156.0,8.0,0.0,57.0,LAC,WR,cbs_sports,keenanallen
1,,,,,,Odell Beckham,75.0,6.0,1152.0,5.0,0.0,19.0,CLE,WR,cbs_sports,odellbeckham
1,,,,,,T.Y. Hilton,71.0,7.0,1106.0,0.0,0.0,0.0,IND,WR,cbs_sports,tyhilton
1,,,,,,Courtland Sutton,64.0,7.0,1095.0,2.0,0.0,6.0,DEN,WR,cbs_sports,courtlandsutton
2,,,,,,D.J. Moore,81.0,4.0,1252.0,9.0,0.0,98.0,CAR,WR,cbs_sports,djmoore
1,,,,,,Robert Woods,92.0,4.0,1166.0,20.0,1.0,111.0,LAR,WR,cbs_sports,robertwoods
3,,,,,,DK Metcalf,66.0,8.0,1055.0,2.0,0.0,10.0,SEA,WR,cbs_sports,dkmetcalf
1,,,,,,Stefon Diggs,71.0,7.0,1011.0,11.0,0.0,99.0,BUF,WR,cbs_sports,stefondiggs
1,,,,,,Terry McLaurin,71.0,7.0,1070.0,0.0,0.0,0.0,WAS,WR,cbs_sports,terrymclaurin
1,,,,,,Marquise Brown,62.0,7.0,883.0,19.0,1.0,180.0,BAL,WR,cbs_sports,marquisebrown
1,,,,,,Michael Gallup,62.0,6.0,1074.0,0.0,0.0,0.0,DAL,WR,cbs_sports,michaelgallup
1,,,,,,Allen Robinson,85.0,6.0,1083.0,1.0,0.0,5.0,CHI,WR,cbs_sports,allenrobinson
1,,,,,,D.J. Chark,74.0,7.0,1017.0,1.0,0.0,13.0,JAC,WR,cbs_sports,djchark
1,,,,,,Jarvis Landry,73.0,5.0,1023.0,2.0,1.0,38.0,CLE,WR,cbs_sports,jarvislandry
1,,,,,,Tyler Boyd,80.0,6.0,1015.0,3.0,0.0,13.0,CIN,WR,cbs_sports,tylerboyd
1,,,,,,DeVante Parke,65.0,6.0,1005.0,0.0,0.0,0.0,MIA,WR,cbs_sports,devanteparke
2,,,,,,A.J. Green,66.0,6.0,1003.0,0.0,0.0,2.0,CIN,WR,cbs_sports,ajgreen
1,,,,,,Marvin Jones,64.0,8.0,858.0,2.0,0.0,0.0,DET,WR,cbs_sports,marvinjones
1,,,,,,Julian Edelman,86.0,5.0,982.0,13.0,0.0,88.0,NE,WR,cbs_sports,julianedelman
1,,,,,,Will Fulle,71.0,5.0,1015.0,0.0,0.0,0.0,HOU,WR,cbs_sports,willfulle
2,,,,,,Preston Williams,62.0,7.0,883.0,1.0,0.0,3.0,MIA,WR,cbs_sports,prestonwilliams
1,,,,,,Darius Slayton,54.0,7.0,834.0,0.0,0.0,0.0,NYG,WR,cbs_sports,dariusslayton
2,,,,,,Diontae Johnson,71.0,7.0,847.0,4.0,0.0,40.0,PIT,WR,cbs_sports,diontaejohnson
1,,,,,,John Brown,55.0,6.0,871.0,3.0,0.0,6.0,BUF,WR,cbs_sports,johnbrown
1,,,,,,Brandin Cooks,64.0,4.0,945.0,8.0,0.0,65.0,HOU,WR,cbs_sports,brandincooks
1,,,,,,Deebo Samuel,52.0,3.0,746.0,19.0,2.0,240.0,SF,WR,cbs_sports,deebosamuel
2,,,,,,CeeDee Lamb,55.0,5.0,936.0,2.0,0.0,13.0,DAL,WR,cbs_sports,ceedeelamb
1,,,,,,Jamison Crowde,71.0,6.0,831.0,3.0,0.0,19.0,NYJ,WR,cbs_sports,jamisoncrowde
1,,,,,,Christian Kirk,73.0,5.0,845.0,8.0,0.0,79.0,ARI,WR,cbs_sports,christiankirk
1,,,,,,Hunter Renfrow,66.0,6.0,807.0,0.0,0.0,0.0,LV,WR,cbs_sports,hunterrenfrow
2,,,,,,LV  Henry Ruggs,50.0,5.0,874.0,2.0,0.0,11.0,LV,WR,cbs_sports,lvhenryruggs
1,,,,,,Sammy Watkins,67.0,4.0,883.0,5.0,0.0,42.0,KC,WR,cbs_sports,sammywatkins
1,,,,,,Golden Tate,68.0,5.0,822.0,3.0,0.0,26.0,NYG,WR,cbs_sports,goldentate
0,,,,,,Mike Williams,41.0,5.0,729.0,5.0,1.0,19.0,LAC,WR,cbs_sports,mikewilliams
1,,,,,,Sterling Shepard,74.0,4.0,858.0,5.0,0.0,51.0,NYG,WR,cbs_sports,sterlingshepard
2,,,,,,Jerry Jeudy,55.0,4.0,904.0,2.0,0.0,8.0,DEN,WR,cbs_sports,jerryjeudy
1,,,,,,DeSean Jackson,47.0,5.0,749.0,7.0,1.0,35.0,PHI,WR,cbs_sports,deseanjackson
1,,,,,,Anthony Mille,57.0,6.0,744.0,3.0,0.0,11.0,CHI,WR,cbs_sports,anthonymille
1,,,,,,Allen Lazard,59.0,4.0,820.0,2.0,0.0,29.0,GB,WR,cbs_sports,allenlazard
1,,,,,,Emmanuel Sanders,69.0,5.0,774.0,2.0,0.0,22.0,NO,WR,cbs_sports,emmanuelsanders
1,,,,,,Robby Anderson,53.0,5.0,768.0,2.0,0.0,-2.0,CAR,WR,cbs_sports,robbyanderson
0,,,,,,Breshad Perriman,43.0,5.0,742.0,4.0,0.0,9.0,NYJ,WR,cbs_sports,breshadperriman
2,,,,,,Mecole Hardman,36.0,7.0,645.0,5.0,0.0,11.0,KC,WR,cbs_sports,mecolehardman
2,,,,,,Laviska Shenault,53.0,3.0,812.0,19.0,0.0,131.0,JAC,WR,cbs_sports,laviskashenault
1,,,,,,Cole Beasley,63.0,5.0,721.0,0.0,0.0,0.0,BUF,WR,cbs_sports,colebeasley
1,,,,,,Curtis Samuel,42.0,5.0,504.0,22.0,2.0,167.0,CAR,WR,cbs_sports,curtissamuel
1,,,,,,Danny Amendola,72.0,4.0,755.0,1.0,0.0,0.0,DET,WR,cbs_sports,dannyamendola
1,,,,,,Justin Jefferson,47.0,4.0,763.0,2.0,0.0,12.0,MIN,WR,cbs_sports,justinjefferson
1,,,,,,Brandon Aiyuk,46.0,4.0,748.0,3.0,0.0,15.0,SF,WR,cbs_sports,brandonaiyuk
1,,,,,,Steven Sims,52.0,6.0,505.0,11.0,1.0,95.0,WAS,WR,cbs_sports,stevensims
1,,,,,,N'Keal Harry,44.0,6.0,541.0,12.0,0.0,86.0,NE,WR,cbs_sports,nkealharry
1,,,,,,Michael Pittman,45.0,4.0,690.0,3.0,0.0,13.0,IND,WR,cbs_sports,michaelpittman
2,,,,,,Bryan Edwards,50.0,3.0,729.0,2.0,0.0,11.0,LV,WR,cbs_sports,bryanedwards
1,,,,,,Corey Davis,48.0,3.0,675.0,3.0,0.0,29.0,TEN,WR,cbs_sports,coreydavis
1,,,,,,Randall Cobb,53.0,3.0,681.0,2.0,0.0,7.0,HOU,WR,cbs_sports,randallcobb
2,,,,,,Jalen Reago,43.0,3.0,658.0,2.0,0.0,8.0,PHI,WR,cbs_sports,jalenreago
1,,,,,,John Ross,31.0,6.0,458.0,5.0,0.0,9.0,CIN,WR,cbs_sports,johnross
0,,,,,,Josh Gordon,34.0,3.0,602.0,1.0,0.0,1.0,SEA,WR,cbs_sports,joshgordon
0,,,,,,Tre'Quan Smith,29.0,6.0,409.0,1.0,0.0,3.0,NO,WR,cbs_sports,trequansmith
1,,,,,,Keelan Cole,43.0,3.0,610.0,1.0,0.0,4.0,JAC,WR,cbs_sports,keelancole
1,,,,,,Nelson Agholo,54.0,3.0,603.0,3.0,0.0,31.0,LV,WR,cbs_sports,nelsonagholo
1,,,,,,Larry Fitzgerald,51.0,4.0,542.0,0.0,0.0,0.0,ARI,WR,cbs_sports,larryfitzgerald
0,,,,,,Kenny Stills,34.0,4.0,513.0,0.0,0.0,0.0,HOU,WR,cbs_sports,kennystills
1,,,,,,Greg Ward,53.0,3.0,594.0,3.0,0.0,14.0,PHI,WR,cbs_sports,gregward
0,,,,,,Bisi Johnson,43.0,5.0,459.0,1.0,0.0,7.0,MIN,WR,cbs_sports,bisijohnson
