fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,player,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,team,position,source,pname_merge
1,,,,,,Van Jefferson,41.0,2.0,629.0,2.0,0.0,10.0,LAR,WR,cbs_sports,vanjefferson
1,,,,,,Chris Conley,44.0,3.0,560.0,0.0,0.0,0.0,JAC,WR,cbs_sports,chrisconley
0,,,,,,Miles Boykin,29.0,5.0,408.0,0.0,0.0,0.0,BAL,WR,cbs_sports,milesboykin
1,,,,,,James Washington,38.0,2.0,594.0,0.0,0.0,0.0,PIT,WR,cbs_sports,jameswashington
0,,,,,,Josh Reynolds,35.0,3.0,501.0,5.0,0.0,26.0,LAR,WR,cbs_sports,joshreynolds
1,,,,,,Willie Snead,42.0,4.0,475.0,2.0,0.0,9.0,BAL,WR,cbs_sports,williesnead
1,,,,,,Chase Claypool,38.0,3.0,520.0,2.0,0.0,8.0,PIT,WR,cbs_sports,chaseclaypool
0,,,,,,Alshon Jeffery,36.0,3.0,447.0,1.0,1.0,1.0,PHI,WR,cbs_sports,alshonjeffery
1,,,,,,Denzel Mims,37.0,2.0,562.0,2.0,0.0,8.0,NYJ,WR,cbs_sports,denzelmims
1,,,,,,Jakeem Grant,39.0,2.0,436.0,4.0,2.0,9.0,MIA,WR,cbs_sports,jakeemgrant
0,,,,,,Marquez Valdes-Scantling,32.0,2.0,516.0,2.0,0.0,21.0,GB,WR,cbs_sports,marquezvaldesscantling
1,,,,,,Joe Reed,33.0,2.0,548.0,3.0,0.0,13.0,LAC,WR,cbs_sports,joereed
1,,,,,,Auden Tate,38.0,2.0,541.0,0.0,0.0,0.0,CIN,WR,cbs_sports,audentate
0,,,,,,Zach Pascal,33.0,3.0,443.0,3.0,0.0,24.0,IND,WR,cbs_sports,zachpascal
1,,,,,,Adam Humphries,46.0,3.0,466.0,2.0,0.0,9.0,TEN,WR,cbs_sports,adamhumphries
0,,,,,,Kendrick Bourne,32.0,4.0,383.0,0.0,0.0,0.0,SF,WR,cbs_sports,kendrickbourne
1,,,,,,K.J. Hamle,33.0,2.0,517.0,2.0,0.0,8.0,DEN,WR,cbs_sports,kjhamle
1,,,,,,Devin Duvernay,27.0,3.0,419.0,3.0,0.0,21.0,BAL,WR,cbs_sports,devinduvernay
1,,,,,,Parris Campbell,37.0,3.0,400.0,7.0,0.0,55.0,IND,WR,cbs_sports,parriscampbell
1,,,,,,Rashard Higgins,26.0,3.0,409.0,0.0,0.0,0.0,CLE,WR,cbs_sports,rashardhiggins
1,,,,,,Travis Kelce,102.0,7.0,1201.0,,,,KC,TE,cbs_sports,traviskelce
1,,,,,,George Kittle,87.0,6.0,1194.0,,,,SF,TE,cbs_sports,georgekittle
1,,,,,,Zach Ertz,91.0,6.0,967.0,,,,PHI,TE,cbs_sports,zachertz
1,,,,,,Mark Andrews,54.0,9.0,790.0,,,,BAL,TE,cbs_sports,markandrews
1,,,,,,Darren Walle,80.0,4.0,1030.0,,,,LV,TE,cbs_sports,darrenwalle
1,,,,,,Evan Engram,72.0,5.0,860.0,,,,NYG,TE,cbs_sports,evanengram
1,,,,,,Hunter Henry,65.0,6.0,787.0,,,,LAC,TE,cbs_sports,hunterhenry
0,,,,,,Jared Cook,48.0,7.0,680.0,,,,NO,TE,cbs_sports,jaredcook
1,,,,,,Noah Fant,53.0,5.0,780.0,,,,DEN,TE,cbs_sports,noahfant
1,,,,,,Tyler Higbee,71.0,4.0,829.0,,,,LAR,TE,cbs_sports,tylerhigbee
1,,,,,,Hayden Hurst,65.0,4.0,811.0,,,,ATL,TE,cbs_sports,haydenhurst
1,,,,,,Austin Hoope,65.0,5.0,738.0,,,,CLE,TE,cbs_sports,austinhoope
1,,,,,,Rob Gronkowski,49.0,3.0,862.0,,,,TB,TE,cbs_sports,robgronkowski
1,,,,,,Jonnu Smith,50.0,6.0,611.0,,,,TEN,TE,cbs_sports,jonnusmith
0,,,,,,Chris Herndon,44.0,6.0,563.0,,,,NYJ,TE,cbs_sports,chrisherndon
0,,,,,,Blake Jarwin,48.0,5.0,568.0,,,,DAL,TE,cbs_sports,blakejarwin
1,,,,,,Jack Doyle,56.0,5.0,586.0,,,,IND,TE,cbs_sports,jackdoyle
2,,,,,,Mike Gesicki,57.0,4.0,640.0,,,,MIA,TE,cbs_sports,mikegesicki
1,,,,,,Dallas Goedert,52.0,5.0,542.0,,,,PHI,TE,cbs_sports,dallasgoedert
0,,,,,,Eric Ebron,48.0,5.0,520.0,,,,PIT,TE,cbs_sports,ericebron
1,,,,,,T.J. Hockenson,55.0,3.0,645.0,,,,DET,TE,cbs_sports,tjhockenson
1,,,,,,Ian Thomas,61.0,4.0,576.0,,,,CAR,TE,cbs_sports,ianthomas
0,,,,,,Dawson Knox,38.0,3.0,528.0,,,,BUF,TE,cbs_sports,dawsonknox
1,,,,,,O.J. Howard,36.0,3.0,549.0,,,,TB,TE,cbs_sports,ojhoward
0,,,,,,Tyler Eifert,49.0,3.0,513.0,,,,JAC,TE,cbs_sports,tylereifert
0,,,,,,Greg Olsen,36.0,4.0,459.0,,,,SEA,TE,cbs_sports,gregolsen
0,,,,,,Kyle Rudolph,42.0,4.0,441.0,,,,MIN,TE,cbs_sports,kylerudolph
1,,,,,,Logan Thomas,53.0,3.0,521.0,,,,WAS,TE,cbs_sports,loganthomas
1,,,,,,Irv Smith,55.0,3.0,522.0,,,,MIN,TE,cbs_sports,irvsmith
0,,,,,,C.J. Uzomah,49.0,3.0,487.0,,,,CIN,TE,cbs_sports,cjuzomah
0,,,,,,David Njoku,38.0,3.0,432.0,,,,CLE,TE,cbs_sports,davidnjoku
0,,,,,,Gerald Everett,43.0,3.0,440.0,,,,LAR,TE,cbs_sports,geraldeverett
0,,,,,,Jimmy Graham,46.0,2.0,486.0,,,,CHI,TE,cbs_sports,jimmygraham
1,,,,,,Vance McDonald,45.0,3.0,442.0,,,,PIT,TE,cbs_sports,vancemcdonald
0,,,,,,Will Dissly,27.0,4.0,362.0,,,,SEA,TE,cbs_sports,willdissly
0,,,,,,Darren Fells,31.0,5.0,299.0,,,,HOU,TE,cbs_sports,darrenfells
1,,,,,,Devin Asiasi,41.0,3.0,408.0,,,,NE,TE,cbs_sports,devinasiasi
0,,,,,,Ryan Griffin,35.0,3.0,374.0,,,,NYJ,TE,cbs_sports,ryangriffin
0,,,,,,Anthony Firkse,27.0,3.0,362.0,,,,TEN,TE,cbs_sports,anthonyfirkse
1,,,,,,Cole Kmet,37.0,3.0,376.0,,,,CHI,TE,cbs_sports,colekmet
0,,,,,,Mo Alie-Cox,23.0,3.0,337.0,,,,IND,TE,cbs_sports,moaliecox
0,,,,,,Cameron Brate,27.0,4.0,278.0,,,,TB,TE,cbs_sports,cameronbrate
0,,,,,,Nick Boyle,32.0,3.0,329.0,,,,BAL,TE,cbs_sports,nickboyle
0,,,,,,Levine Toilolo,31.0,2.0,381.0,,,,NYG,TE,cbs_sports,levinetoilolo
0,,,,,,Robert Tonyan,19.0,3.0,244.0,,,,GB,TE,cbs_sports,roberttonyan
0,,,,,,Jordan Akins,28.0,1.0,338.0,,,,HOU,TE,cbs_sports,jordanakins
0,,,,,,Jordan Reed,25.0,2.0,297.0,,,,SF,TE,cbs_sports,jordanreed
0,,,,,,Dan Arnold,23.0,2.0,287.0,,,,ARI,TE,cbs_sports,danarnold
1,,,,,,Dalton Keene,29.0,2.0,294.0,,,,NE,TE,cbs_sports,daltonkeene
1,,,,,,Harrison Bryant,24.0,2.0,283.0,,,,CLE,TE,cbs_sports,harrisonbryant
0,,,,,,Jace Sternberge,21.0,3.0,202.0,,,,GB,TE,cbs_sports,jacesternberge
0,,,,,,Demetrius Harris,19.0,3.0,178.0,,,,CHI,TE,cbs_sports,demetriusharris
0,,,,,,Jesse James,25.0,1.0,318.0,,,,DET,TE,cbs_sports,jessejames
0,,,,,,Josh Hill,25.0,2.0,227.0,,,,NO,TE,cbs_sports,joshhill
0,,,,,,Maxx Williams,23.0,2.0,224.0,,,,ARI,TE,cbs_sports,maxxwilliams
0,,,,,,Tyler Kroft,22.0,2.0,239.0,,,,BUF,TE,cbs_sports,tylerkroft
0,,,,,,James O'Shaughnessy,29.0,1.0,278.0,,,,JAC,TE,cbs_sports,jamesoshaughnessy
0,,,,,,Andrew Beck,18.0,2.0,187.0,,,,DEN,TE,cbs_sports,andrewbeck
1,,,,,,Adam Shaheen,22.0,2.0,200.0,,,,MIA,TE,cbs_sports,adamshaheen
0,,,,,,Trey Burton,17.0,2.0,174.0,,,,IND,TE,cbs_sports,treyburton
0,,,,,,Dalton Schultz,21.0,1.0,236.0,,,,DAL,TE,cbs_sports,daltonschultz
0,,,,,,Jeremy Sprinkle,25.0,1.0,216.0,,,,WAS,TE,cbs_sports,jeremysprinkle
0,,,,,,Nick Vannett,23.0,1.0,214.0,,,,DEN,TE,cbs_sports,nickvannett
1,,,,,,Virgil Green,16.0,2.0,171.0,,,,LAC,TE,cbs_sports,virgilgreen
0,,,,,,Ricky Seals-Jones,11.0,2.0,153.0,,,,KC,TE,cbs_sports,rickysealsjones
0,,,,,,Marcedes Lewis,19.0,1.0,204.0,,,,GB,TE,cbs_sports,marcedeslewis
0,,,,,,Jaeden Graham,16.0,1.0,205.0,,,,ATL,TE,cbs_sports,jaedengraham
0,,,,,,Derek Carrie,11.0,2.0,96.0,,,,LV,TE,cbs_sports,derekcarrie
0,,,,,,Chris Manhertz,12.0,1.0,160.0,,,,CAR,TE,cbs_sports,chrismanhertz
1,,,,,,Josiah Deguara,18.0,1.0,186.0,,,,GB,TE,cbs_sports,josiahdeguara
0,,,,,,Adam Trautman,16.0,1.0,150.0,,,,NO,TE,cbs_sports,adamtrautman
0,,,,,,Luke Stocke,13.0,1.0,129.0,,,,ATL,TE,cbs_sports,lukestocke
0,,,,,,Drew Sample,15.0,1.0,140.0,,,,CIN,TE,cbs_sports,drewsample
0,,,,,,Donald Parham,10.0,1.0,113.0,,,,LAC,TE,cbs_sports,donaldparham
0,,,,,,Kahale Warring,10.0,1.0,112.0,,,,HOU,TE,cbs_sports,kahalewarring
0,,,,,,J.P. Holtz,11.0,1.0,123.0,,,,CHI,TE,cbs_sports,jpholtz
0,,,,,,Ryan Izzo,9.0,1.0,125.0,,,,NE,TE,cbs_sports,ryanizzo
0,,,,,,Pharaoh Brown,10.0,1.0,115.0,,,,CLE,TE,cbs_sports,pharaohbrown
0,,,,,,Brycen Hopkins,12.0,1.0,126.0,,,,LAR,TE,cbs_sports,brycenhopkins
0,,,,,,Albert Okwuegbunam,10.0,1.0,105.0,,,,DEN,TE,cbs_sports,albertokwuegbunam
0,,,,,,Jason Witten,11.0,1.0,92.0,,,,LV,TE,cbs_sports,jasonwitten
0,,,,,,Geoff Swaim,8.0,1.0,81.0,,,,JAC,TE,cbs_sports,geoffswaim
0,,,,,,Foster Moreau,11.0,1.0,92.0,,,,LV,TE,cbs_sports,fostermoreau
0,,,,,,Antony Auclai,10.0,1.0,105.0,,,,TB,TE,cbs_sports,antonyauclai
0,,,,,,Luke Willson,10.0,1.0,91.0,,,,SEA,TE,cbs_sports,lukewillson
0,,,,,,Charlie Woerne,9.0,1.0,104.0,,,,SF,TE,cbs_sports,charliewoerne
0,,,,,,Kaden Smith,11.0,1.0,96.0,,,,NYG,TE,cbs_sports,kadensmith
0,,,,,,MyCole Pruitt,8.0,1.0,98.0,,,,TEN,TE,cbs_sports,mycolepruitt
0,,,,,,Tyler Conklin,9.0,1.0,103.0,,,,MIN,TE,cbs_sports,tylerconklin
0,,,,,,Durham Smythe,12.0,1.0,102.0,,,,MIA,TE,cbs_sports,durhamsmythe
0,,,,,,Tyler Davis,11.0,1.0,106.0,,,,JAC,TE,cbs_sports,tylerdavis
0,,,,,,Jacob Holliste,10.0,1.0,91.0,,,,SEA,TE,cbs_sports,jacobholliste
0,,,,,,Stephen Carlson,10.0,1.0,111.0,,,,CLE,TE,cbs_sports,stephencarlson
0,,,,,,Ross Dwelley,9.0,1.0,86.0,,,,SF,TE,cbs_sports,rossdwelley
0,,,,,,Blake Bell,12.0,1.0,108.0,,,,DAL,TE,cbs_sports,blakebell
0,,,,,,Zach Gentry,11.0,1.0,100.0,,,,PIT,TE,cbs_sports,zachgentry
0,,,,,,Lee Smith,5.0,1.0,42.0,,,,BUF,TE,cbs_sports,leesmith
0,,,,,,Colby Parkinson,6.0,1.0,67.0,,,,SEA,TE,cbs_sports,colbyparkinson
0,,,,,,Trevon Wesco,8.0,0.0,99.0,,,,NYJ,TE,cbs_sports,trevonwesco
0,,,,,,Jake Butt,8.0,0.0,80.0,,,,DEN,TE,cbs_sports,jakebutt
3,468.0,300.0,14.0,34.0,3522.0,Lamar Jackson,,,,147.0,4.0,949.0,BAL,QB,cbs_sports,lamarjackson
2,559.0,363.0,10.0,34.0,4519.0,Patrick Mahomes,,,,64.0,4.0,374.0,KC,QB,cbs_sports,patrickmahomes
4,579.0,383.0,13.0,30.0,4705.0,Dak Prescott,,,,65.0,5.0,294.0,DAL,QB,cbs_sports,dakprescott
3,516.0,346.0,16.0,24.0,4075.0,Deshaun Watson,,,,93.0,6.0,519.0,HOU,QB,cbs_sports,deshaunwatson
2,479.0,321.0,9.0,29.0,3965.0,Russell Wilson,,,,72.0,2.0,367.0,SEA,QB,cbs_sports,russellwilson
4,541.0,310.0,17.0,23.0,3556.0,Josh Allen,,,,106.0,8.0,698.0,BUF,QB,cbs_sports,joshallen
1,542.0,336.0,13.0,29.0,4503.0,Tom Brady,,,,24.0,2.0,37.0,TB,QB,cbs_sports,tombrady
2,559.0,364.0,15.0,25.0,3806.0,Kyler Murray,,,,85.0,3.0,555.0,ARI,QB,cbs_sports,kylermurray
5,642.0,431.0,17.0,28.0,4781.0,Matt Ryan,,,,34.0,2.0,127.0,ATL,QB,cbs_sports,mattryan
1,516.0,367.0,10.0,30.0,3834.0,Drew Brees,,,,22.0,2.0,32.0,NO,QB,cbs_sports,drewbrees
7,598.0,392.0,11.0,28.0,4149.0,Carson Wentz,,,,53.0,1.0,187.0,PHI,QB,cbs_sports,carsonwentz
4,559.0,349.0,6.0,25.0,3982.0,Aaron Rodgers,,,,52.0,1.0,235.0,GB,QB,cbs_sports,aaronrodgers
4,606.0,383.0,16.0,24.0,4525.0,Jared Goff,,,,40.0,1.0,65.0,LAR,QB,cbs_sports,jaredgoff
2,520.0,310.0,12.0,20.0,3336.0,Cam Newton,,,,124.0,4.0,500.0,NE,QB,cbs_sports,camnewton
14,582.0,369.0,18.0,25.0,4024.0,Daniel Jones,,,,55.0,3.0,337.0,NYG,QB,cbs_sports,danieljones
3,493.0,304.0,14.0,25.0,3851.0,Baker Mayfield,,,,37.0,2.0,149.0,CLE,QB,cbs_sports,bakermayfield
4,404.0,267.0,11.0,24.0,3435.0,Ryan Tannehill,,,,64.0,3.0,259.0,TEN,QB,cbs_sports,ryantannehill
8,558.0,347.0,11.0,22.0,3778.0,Gardner Minshew,,,,80.0,1.0,386.0,JAC,QB,cbs_sports,gardnerminshew
5,560.0,351.0,16.0,25.0,4133.0,Matthew Stafford,,,,34.0,0.0,103.0,DET,QB,cbs_sports,matthewstafford
2,486.0,314.0,17.0,23.0,3871.0,Tyrod Taylo,,,,48.0,1.0,228.0,LAC,QB,cbs_sports,tyrodtaylo
5,480.0,342.0,11.0,23.0,3768.0,Derek Ca,,,,24.0,2.0,63.0,LV,QB,cbs_sports,derekca
6,588.0,361.0,14.0,23.0,3993.0,Joe Burrow,,,,26.0,1.0,153.0,CIN,QB,cbs_sports,joeburrow
0,599.0,380.0,14.0,22.0,4083.0,Teddy Bridgewate,,,,13.0,0.0,13.0,CAR,QB,cbs_sports,teddybridgewate
6,455.0,312.0,11.0,25.0,3598.0,Kirk Cousins,,,,43.0,1.0,103.0,MIN,QB,cbs_sports,kirkcousins
4,455.0,307.0,20.0,26.0,3725.0,Jimmy Garoppolo,,,,51.0,1.0,73.0,SF,QB,cbs_sports,jimmygaroppolo
2,554.0,358.0,18.0,23.0,3848.0,Ben Roethlisberge,,,,32.0,2.0,95.0,PIT,QB,cbs_sports,benroethlisberge
3,529.0,320.0,12.0,25.0,3528.0,Philip Rivers,,,,21.0,0.0,43.0,IND,QB,cbs_sports,philiprivers
4,537.0,344.0,15.0,23.0,3827.0,Drew Lock,,,,36.0,0.0,152.0,DEN,QB,cbs_sports,drewlock
3,515.0,329.0,22.0,22.0,3586.0,Sam Darnold,,,,42.0,2.0,105.0,NYJ,QB,cbs_sports,samdarnold
1,464.0,302.0,12.0,19.0,3076.0,Mitchell Trubisky,,,,25.0,1.0,119.0,CHI,QB,cbs_sports,mitchelltrubisky
3,393.0,253.0,14.0,17.0,2818.0,Tua Tagovailoa,,,,16.0,1.0,67.0,MIA,QB,cbs_sports,tuatagovailoa
3,437.0,272.0,17.0,18.0,2894.0,Dwayne Haskins,,,,25.0,0.0,101.0,WAS,QB,cbs_sports,dwaynehaskins
1,227.0,142.0,8.0,9.0,1538.0,Ryan Fitzpatrick,,,,25.0,2.0,123.0,MIA,QB,cbs_sports,ryanfitzpatrick
0,12.0,7.0,0.0,1.0,77.0,Taysom Hill,,,,1.0,1.0,4.0,NO,QB,cbs_sports,taysomhill
0,23.0,14.0,1.0,1.0,159.0,David Blough,,,,4.0,0.0,17.0,DET,QB,cbs_sports,davidblough
1,82.0,53.0,2.0,3.0,543.0,Nick Foles,,,,4.0,0.0,10.0,CHI,QB,cbs_sports,nickfoles
6,18.0,11.0,0.0,1.0,121.0,Jalen Hurts,,,,41.0,2.0,217.0,PHI,QB,cbs_sports,jalenhurts
0,23.0,15.0,0.0,1.0,157.0,Jameis Winston,,,,4.0,0.0,18.0,NO,QB,cbs_sports,jameiswinston
0,23.0,14.0,0.0,1.0,148.0,Brett Hundley,,,,4.0,0.0,16.0,ARI,QB,cbs_sports,bretthundley
0,12.0,8.0,0.0,1.0,105.0,Logan Woodside,,,,1.0,0.0,4.0,TEN,QB,cbs_sports,loganwoodside
0,18.0,12.0,0.0,1.0,125.0,P.J. Walke,,,,1.0,0.0,4.0,CAR,QB,cbs_sports,pjwalke
0,17.0,11.0,0.0,1.0,116.0,Jake Luton,,,,1.0,0.0,3.0,JAC,QB,cbs_sports,jakeluton
0,19.0,12.0,0.0,1.0,137.0,John Wolford,,,,1.0,0.0,3.0,LAR,QB,cbs_sports,johnwolford
0,17.0,10.0,0.0,1.0,109.0,Matt Barkley,,,,4.0,0.0,4.0,BUF,QB,cbs_sports,mattbarkley
0,18.0,10.0,0.0,1.0,117.0,Jordan Love,,,,1.0,0.0,3.0,GB,QB,cbs_sports,jordanlove
0,21.0,14.0,0.0,1.0,162.0,Chad Henne,,,,2.0,0.0,7.0,KC,QB,cbs_sports,chadhenne
0,21.0,13.0,0.0,1.0,136.0,Brian Hoye,,,,5.0,0.0,4.0,NE,QB,cbs_sports,brianhoye
0,23.0,14.0,1.0,1.0,167.0,Chase Daniel,,,,4.0,0.0,17.0,DET,QB,cbs_sports,chasedaniel
0,16.0,8.0,0.0,1.0,91.0,Geno Smith,,,,5.0,0.0,5.0,SEA,QB,cbs_sports,genosmith
0,23.0,15.0,1.0,1.0,184.0,Andy Dalton,,,,5.0,0.0,21.0,DAL,QB,cbs_sports,andydalton
0,19.0,12.0,1.0,1.0,144.0,BAL  Robert Griffin,,,,6.0,0.0,32.0,BAL,QB,cbs_sports,balrobertgriffin
0,26.0,18.0,1.0,1.0,194.0,Matt Schaub,,,,4.0,0.0,3.0,ATL,QB,cbs_sports,mattschaub
0,26.0,16.0,1.0,1.0,204.0,Justin Herbert,,,,2.0,0.0,6.0,LAC,QB,cbs_sports,justinherbert
0,22.0,12.0,1.0,1.0,137.0,Jeff Driskel,,,,4.0,0.0,22.0,DEN,QB,cbs_sports,jeffdriskel
0,26.0,16.0,1.0,1.0,202.0,Case Keenum,,,,1.0,0.0,2.0,CLE,QB,cbs_sports,casekeenum
0,24.0,14.0,1.0,1.0,152.0,Ryan Finley,,,,4.0,0.0,15.0,CIN,QB,cbs_sports,ryanfinley
0,22.0,15.0,1.0,1.0,157.0,Mason Rudolph,,,,4.0,0.0,14.0,PIT,QB,cbs_sports,masonrudolph
0,18.0,11.0,1.0,1.0,122.0,Kyle Allen,,,,2.0,0.0,7.0,WAS,QB,cbs_sports,kyleallen
0,18.0,12.0,1.0,1.0,151.0,Nick Mullens,,,,5.0,0.0,5.0,SF,QB,cbs_sports,nickmullens
0,24.0,15.0,1.0,1.0,164.0,Colt McCoy,,,,2.0,0.0,11.0,NYG,QB,cbs_sports,coltmccoy
0,21.0,14.0,1.0,1.0,163.0,AJ McCarron,,,,1.0,0.0,6.0,HOU,QB,cbs_sports,ajmccarron
0,22.0,13.0,1.0,1.0,168.0,Blaine Gabbert,,,,4.0,0.0,3.0,TB,QB,cbs_sports,blainegabbert
0,20.0,15.0,0.0,1.0,159.0,Marcus Mariota,,,,2.0,0.0,12.0,LV,QB,cbs_sports,marcusmariota
0,14.0,9.0,1.0,1.0,92.0,Alex Smith,,,,2.0,0.0,6.0,WAS,QB,cbs_sports,alexsmith
0,18.0,11.0,1.0,1.0,125.0,Joe Flacco,,,,3.0,0.0,11.0,NYJ,QB,cbs_sports,joeflacco
0,18.0,11.0,0.0,0.0,129.0,Sean Mannion,,,,5.0,0.0,4.0,MIN,QB,cbs_sports,seanmannion
0,8.0,5.0,0.0,0.0,50.0,Jarrett Stidham,,,,2.0,0.0,2.0,NE,QB,cbs_sports,jarrettstidham
0,11.0,6.0,0.0,0.0,71.0,Jacoby Brissett,,,,2.0,0.0,10.0,IND,QB,cbs_sports,jacobybrissett
0,10.0,6.0,0.0,0.0,64.0,Jacob Eason,,,,1.0,0.0,2.0,IND,QB,cbs_sports,jacobeason
0,4.0,2.0,0.0,0.0,27.0,Jake Fromm,,,,0.0,0.0,1.0,BUF,QB,cbs_sports,jakefromm
0,1.0,1.0,0.0,0.0,6.0,David Fales,,,,0.0,0.0,0.0,NYJ,QB,cbs_sports,davidfales
0,4.0,3.0,0.0,0.0,30.0,Nathan Peterman,,,,1.0,0.0,4.0,LV,QB,cbs_sports,nathanpeterman
