player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall
A.J. Brown,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.55,6.75,1081.25,4.25,0.7,51.8,217.06,67.0,20.0,True,1.2810540219288882,1.3199875046158236
A.J. Dillon,GB,RB,1.6,0.0,0.0,0.0,0.0,0.0,6.35,0.1,49.1,119.5,4.1,476.5,80.91,235.0,63.0,True,0.5613897961350339,0.49203072421665106
A.J. Green,CIN,WR,1.5,0.0,0.0,0.0,0.0,0.0,67.7,5.95,1004.45,0.0,0.0,1.35,200.98,86.0,34.0,True,1.18615238794466,1.2222016432216356
Aaron Jones,GB,RB,1.8,0.0,0.0,0.0,0.0,0.0,40.65,2.05,342.75,203.3,10.15,890.9,233.62,55.0,13.0,True,1.6209601306768833,1.4206923469471515
Aaron Rodgers,GB,QB,3.2,563.8,353.4,7.1,26.05,4042.95,0.0,0.0,0.0,48.45,1.1,211.95,280.21,20.0,12.0,True,1.2453182792377697,1.7040159341582968
Adam Humphries,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.7,2.8,453.5,1.35,0.0,6.0,104.95,189.0,79.0,True,0.6193984133485525,0.6382230194850764
Adam Thielen,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,76.3,7.55,1058.45,5.45,0.7,22.4,232.39,58.0,14.0,True,1.3715292737310159,1.4132124582957304
Adrian Peterson,DET,RB,0.6,0.0,0.0,0.0,0.0,0.0,8.5,0.2,68.5,93.6,2.4,338.3,63.58,267.0,74.0,True,0.4411464990516062,0.38664334996532784
Adrian Peterson,WAS,RB,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,86.0,2.0,331.0,51.2,293.0,81.0,True,0.35524851763828624,0.31135796662826026
Alex Smith,WAS,QB,0.0,36.75,23.5,1.25,2.0,255.25,0.0,0.0,0.0,6.25,0.0,20.75,19.04,404.0,39.0,True,0.08461817935365311,0.11578624383988427
Alexander Mattison,MIN,RB,1.7,0.0,0.0,0.0,0.0,0.0,8.75,0.2,69.2,141.35,3.1,619.1,93.98,218.0,57.0,True,0.6520753063993386,0.5715121426508574
Allen Lazard,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,56.0,4.0,769.65,1.5,0.0,20.55,157.52,126.0,55.0,True,0.9296582950992281,0.957912244204757
Allen Robinson,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,85.7,6.25,1083.3,1.15,0.05,6.5,230.98,60.0,16.0,True,1.3632076752286675,1.4046379517928818
Alshon Jeffery,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,35.8,3.1,446.7,0.65,0.65,0.65,103.04,197.0,84.0,True,0.6081258933914707,0.6266079078393737
Alvin Kamara,NO,RB,2.35,0.0,0.0,0.0,0.0,0.0,89.9,2.45,658.8,205.2,7.95,948.85,308.36,12.0,4.0,True,2.13953970505746,1.875202003700983
Amari Coope,DAL,WR,0.75,0.0,0.0,0.0,0.0,0.0,75.05,7.65,1082.5,1.35,0.0,9.35,228.64,62.0,18.0,True,1.349397362820515,1.3904079197243244
Anthony McFarland,PIT,RB,0.85,0.0,0.0,0.0,0.0,0.0,16.05,0.9,131.65,41.55,1.1,172.2,56.74,281.0,76.0,True,0.39368751739836644,0.3450478716110837
Anthony Mille,CHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,57.85,5.4,744.4,2.8,0.05,12.6,164.75,117.0,50.0,True,0.9723286193346738,1.0018793945704272
Antonio Gibson,WAS,RB,2.45,0.0,0.0,0.0,0.0,0.0,47.65,2.0,387.8,155.3,4.2,683.95,187.12,96.0,22.0,True,1.2983223168061742,1.1379160686617198
Austin Ekele,LAC,RB,1.65,0.0,0.0,0.0,0.0,0.0,64.1,4.55,669.75,162.7,4.25,718.75,252.45,34.0,8.0,True,1.7516110991754952,1.5352015366270368
Austin Hoope,CLE,TE,0.75,0.0,0.0,0.0,0.0,0.0,60.55,4.7,683.6,0.0,0.0,0.0,155.61,129.0,10.0,True,1.165323373304502,0.9462971325590542
Baker Mayfield,CLE,QB,2.45,508.75,313.85,14.4,25.4,3893.1,0.0,0.0,0.0,34.55,1.75,152.2,263.74,26.0,17.0,True,1.1721217764040164,1.6038584007526828
Ben Roethlisberge,PIT,QB,1.65,551.5,357.8,16.2,24.45,3932.4,0.0,0.0,0.0,26.7,1.6,78.0,253.0,33.0,20.0,True,1.1243907235543191,1.5385462022841765
Benny Snell,PIT,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.35,0.15,44.25,113.65,2.85,458.45,71.62,255.0,69.0,True,0.49693161783699336,0.43553628066242184
Bisi Johnson,MIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,459.0,1.0,0.0,7.0,119.6,175.0,76.0,True,0.7058604119722427,0.7273127501707016
Blake Jarwin,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.25,4.6,548.5,0.0,0.0,0.0,129.7,168.0,22.0,True,0.9712900296741462,0.7887329740563545
Boston Scott,PHI,RB,1.55,0.0,0.0,0.0,0.0,0.0,31.6,0.2,266.75,91.6,4.35,363.8,118.86,177.0,45.0,True,0.8247038829391934,0.7228126545592776
Brandin Cooks,HOU,WR,0.75,0.0,0.0,0.0,0.0,0.0,62.2,4.25,897.0,6.6,0.05,51.85,181.38,99.0,41.0,True,1.0704762669191086,1.1030099216217546
Brandon Aiyuk,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,44.9,4.05,677.95,2.4,0.05,12.8,137.07,152.0,66.0,True,0.8089656076006297,0.833551493862024
Breshad Perriman,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,44.3,5.05,748.2,3.0,0.0,8.35,150.26,137.0,60.0,True,0.8868109155764983,0.9137626575305152
Brian Hill,ATL,RB,0.4,0.0,0.0,0.0,0.0,0.0,13.2,0.3,96.3,56.2,1.6,227.4,56.17,283.0,78.0,True,0.3897326022605964,0.34158158174823006
Bryan Edwards,LV,WR,1.5,0.0,0.0,0.0,0.0,0.0,48.85,3.2,679.45,1.55,0.0,8.75,133.87,161.0,69.0,True,0.7900797102903356,0.8140916209477578
Bryce Love,WAS,RB,1.55,0.0,0.0,0.0,0.0,0.0,16.0,0.75,133.7,104.65,2.55,388.7,84.94,231.0,61.0,True,0.5893517400038287,0.5165380016680552
C.J. Uzomah,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,43.95,2.9,428.0,0.0,0.0,0.0,104.15,192.0,28.0,True,0.7799526336974737,0.6333580512565099
Calvin Ridley,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.3,8.25,1035.25,2.85,0.0,27.0,233.52,56.0,13.0,True,1.3781983562187134,1.4200842259185806
Cam Akers,LAR,RB,2.45,0.0,0.0,0.0,0.0,0.0,32.75,1.05,295.95,184.2,6.35,699.35,171.78,108.0,27.0,True,1.1918865304668909,1.0446303028789559
Cam Newton,NE,QB,1.7,512.55,309.65,12.65,21.65,3460.1,0.0,0.0,0.0,117.65,3.9,449.3,277.28,21.0,13.0,True,1.2322966791586625,1.6861979880211717
Carlos Hyde,SEA,RB,0.95,0.0,0.0,0.0,0.0,0.0,5.95,0.1,32.05,84.6,2.05,340.6,54.22,287.0,79.0,True,0.376202629420857,0.329723221691099
Carson Wentz,PHI,QB,5.6,585.7,382.15,10.65,27.75,4098.7,0.0,0.0,0.0,55.4,1.35,200.1,281.21,19.0,11.0,True,1.2497625113466801,1.710097144444005
CeeDee Lamb,DAL,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.85,4.85,863.55,1.35,0.0,8.65,168.17,114.0,47.0,True,0.9925129220850507,1.022677133747549
Chase Claypool,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,34.1,2.6,457.2,1.35,0.0,5.35,94.46,217.0,95.0,True,0.5574880812282446,0.5744311235879973
Chase Edmonds,ARI,RB,0.75,0.0,0.0,0.0,0.0,0.0,19.8,0.9,136.45,103.2,3.9,418.25,102.57,198.0,52.0,True,0.7116765713702933,0.6237497390050908
Chris Carson,SEA,RB,2.7,0.0,0.0,0.0,0.0,0.0,28.1,1.15,212.35,239.75,7.9,1075.95,205.83,83.0,20.0,True,1.4281406715915714,1.2516955131073204
Chris Conley,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,41.85,3.05,550.9,0.0,0.0,0.0,113.74,180.0,77.0,True,0.6712756125227667,0.6916768578964515
Chris Godwin,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.1,7.85,1188.8,1.05,0.05,5.8,244.46,41.0,7.0,True,1.4427645176482815,1.4866126664442285
Chris Herndon,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,563.0,0.0,0.0,0.0,136.3,154.0,16.0,True,1.0207157366583357,0.8288689619420287
Chris Herndon IV,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,48.8,4.6,585.1,0.0,0.0,0.0,134.91,157.0,17.0,True,1.0103063832177261,0.8204160796448943
Chris Thompson,JAC,RB,0.75,0.0,0.0,0.0,0.0,0.0,43.85,1.2,353.0,47.05,1.15,225.4,114.29,179.0,47.0,True,0.7929951773609323,0.695021523553591
Christian Kirk,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.35,4.9,824.5,6.85,0.0,63.5,188.05,94.0,39.0,True,1.109841559125253,1.1435715942274285
Christian McCaffrey,CAR,RB,3.1,0.0,0.0,0.0,0.0,0.0,108.4,4.75,912.35,249.35,8.75,1132.45,387.68,1.0,1.0,True,2.6898973694923987,2.357563603563358
Clyde Edwards-Helaire,KC,RB,2.6,0.0,0.0,0.0,0.0,0.0,50.2,3.55,513.95,196.65,9.1,876.7,259.97,31.0,7.0,True,1.8037882252036188,1.5809322379755628
Cole Beasley,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.3,4.6,693.45,0.0,0.0,0.0,154.74,130.0,58.0,True,0.9132511718109101,0.9410064796104881
Cole Kmet,CHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,32.1,2.45,329.85,0.0,0.0,0.0,78.29,240.0,39.0,True,0.5862937272412407,0.4760979532680956
Cooper Kupp,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,87.15,8.9,1076.75,2.65,0.0,11.35,247.86,38.0,6.0,True,1.462830783540469,1.5072887814156364
Corey Davis,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,47.85,3.35,669.45,2.25,0.0,20.85,135.48,156.0,68.0,True,0.7995816773745773,0.823882369507748
Courtland Sutton,DEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,67.5,6.55,1070.7,1.4,0.0,4.45,212.82,75.0,26.0,True,1.2560302079927483,1.2942031730044208
Curtis Samuel,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.4,4.5,519.9,18.8,1.55,140.45,144.23,144.0,64.0,True,0.8512228028324128,0.8770929595076947
D'Andre Swift,DET,RB,2.35,0.0,0.0,0.0,0.0,0.0,32.5,1.65,334.6,142.75,3.7,579.3,151.29,136.0,34.0,True,1.049717738935475,0.9200263041247947
D.J. Chark,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,6.5,993.35,1.0,0.0,10.85,210.67,76.0,27.0,True,1.2433412457373945,1.281128570890148
D.J. Moore,CAR,WR,1.5,0.0,0.0,0.0,0.0,0.0,83.4,4.85,1216.45,7.2,0.05,73.55,238.8,49.0,10.0,True,1.4093600867806988,1.4521930162271202
D.K. Metcalf,SEA,WR,1.5,0.0,0.0,0.0,0.0,0.0,66.1,7.3,1002.9,1.1,0.0,6.5,207.84,81.0,31.0,True,1.2266390303036032,1.263918745781594
DK Metcalf,SEA,WR,3.0,0.0,0.0,0.0,0.0,0.0,66.0,8.0,1055.0,2.0,0.0,10.0,214.5,72.0,23.0,True,1.2659453040806528,1.3044196062844104
Dak Prescott,DAL,QB,3.15,580.45,381.45,12.55,29.6,4628.45,0.0,0.0,0.0,64.7,4.35,277.7,338.56,5.0,3.0,True,1.504639222792689,2.0588545543293706
Dallas Goedert,PHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,52.8,4.75,547.3,0.0,0.0,0.0,134.53,159.0,18.0,True,1.0074606606943939,0.8181052197363252
Dalvin Cook,MIN,RB,2.85,0.0,0.0,0.0,0.0,0.0,55.55,1.45,498.7,268.4,10.4,1181.15,288.94,17.0,5.0,True,2.0047950524688756,1.7571048999525296
Damien Harris,NE,RB,1.5,0.0,0.0,0.0,0.0,0.0,7.25,0.05,63.15,119.55,3.15,407.95,70.56,256.0,70.0,True,0.48957686337026324,0.42909019775957113
Daniel Jones,NYG,QB,10.95,574.1,362.1,17.0,25.0,3961.7,0.0,0.0,0.0,56.7,2.75,318.0,267.87,24.0,15.0,True,1.1904764550138163,1.6289737992326576
Danny Amendola,DET,WR,0.75,0.0,0.0,0.0,0.0,0.0,66.15,3.55,703.95,0.65,0.0,0.0,156.35,128.0,57.0,True,0.9227531388951518,0.9507972281704782
Darius Slayton,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,52.85,6.4,799.35,0.0,0.0,0.0,169.68,110.0,46.0,True,1.0014247048783458,1.0318597612789686
Darrel Williams,KC,RB,1.65,0.0,0.0,0.0,0.0,0.0,13.55,0.95,124.65,97.55,4.65,325.75,88.89,227.0,59.0,True,0.6167586080638138,0.5405587822966026
Darrell Henderson,LAR,RB,1.65,0.0,0.0,0.0,0.0,0.0,20.2,0.95,172.2,125.85,2.9,468.4,104.06,194.0,51.0,True,0.7220148583093763,0.6328107423307961
Darren Fells,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,31.8,4.4,314.7,0.0,0.0,0.0,89.67,226.0,35.0,True,0.6715156280715551,0.545302126319455
Darren Walle,LV,TE,0.75,0.0,0.0,0.0,0.0,0.0,77.25,4.3,957.35,0.0,0.0,0.0,197.29,87.0,4.0,True,1.4774542016531405,1.1997619772673722
Darrynton Evans,TEN,RB,1.65,0.0,0.0,0.0,0.0,0.0,23.25,1.0,222.35,79.05,2.15,352.65,96.35,211.0,56.0,True,0.6685194272353296,0.5859246110279858
Davante Adams,GB,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.65,10.65,1385.65,0.0,0.0,0.0,309.62,11.0,2.0,True,1.8273286016291457,1.8828643286609752
David Johnson,HOU,RB,1.95,0.0,0.0,0.0,0.0,0.0,41.05,3.5,417.0,207.55,4.6,802.6,207.71,82.0,19.0,True,1.4411849530986023,1.2631281884444518
David Montgomery,CHI,RB,1.95,0.0,0.0,0.0,0.0,0.0,19.55,0.9,151.6,212.35,6.25,783.35,152.05,133.0,32.0,True,1.0549909591191684,0.924648023941933
David Njoku,CLE,TE,0.25,0.0,0.0,0.0,0.0,0.0,36.15,3.1,406.8,0.0,0.0,0.0,94.93,214.0,32.0,True,0.7109064187892576,0.5772892924222802
Dawson Knox,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,36.4,3.0,487.05,0.0,0.0,0.0,103.1,196.0,29.0,True,0.772089453040898,0.6269727804565162
DeAndre Hopkins,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,99.0,7.8,1185.75,0.75,0.0,3.25,263.2,27.0,5.0,True,1.5533650537716914,1.6005745471984
DeSean Jackson,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,49.85,5.05,766.05,5.65,0.7,29.75,162.43,122.0,53.0,True,0.9586363437847107,0.9877709867075842
DeVante Parke,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,69.0,6.2,1044.45,0.2,0.0,1.3,209.28,77.0,28.0,True,1.2351376840932355,1.2726756885930137
Dede Westbrook,JAC,WR,0.5,0.0,0.0,0.0,0.0,0.0,54.7,2.9,591.7,3.8,0.1,28.8,133.75,162.0,70.0,True,0.7893714891411996,0.8133618757134727
DeeJay Dallas,SEA,RB,0.8,0.0,0.0,0.0,0.0,0.0,18.5,0.7,179.65,47.8,1.45,200.55,67.82,262.0,73.0,True,0.4705655169185267,0.4124276815767306
Deebo Samuel,SF,WR,0.75,0.0,0.0,0.0,0.0,0.0,53.5,3.55,739.25,14.35,1.5,173.65,173.59,105.0,44.0,True,1.0245009106543614,1.0556372934960878
Denzel Mims,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,33.75,1.95,482.4,1.35,0.0,5.35,92.72,223.0,100.0,True,0.5472188745657721,0.563849817690865
Derek Ca,LV,QB,4.05,493.1,341.3,10.7,23.0,3774.05,0.0,0.0,0.0,25.0,1.65,69.6,241.02,48.0,26.0,True,1.0711488228895731,1.4656933030613923
Derrick Henry,TEN,RB,2.7,0.0,0.0,0.0,0.0,0.0,19.75,1.0,171.6,298.75,11.55,1534.7,260.28,30.0,6.0,True,1.8059391439627563,1.5828174131641322
Deshaun Watson,HOU,QB,2.4,523.05,347.65,14.45,24.95,4046.8,0.0,0.0,0.0,92.95,5.4,505.15,325.34,6.0,4.0,True,1.445886474312894,1.9784609543523082
Devin Asiasi,NE,TE,0.75,0.0,0.0,0.0,0.0,0.0,36.1,2.7,361.95,0.0,0.0,0.0,87.0,228.0,36.0,True,0.6515206829734057,0.529065294856614
Devin Singletary,BUF,RB,1.8,0.0,0.0,0.0,0.0,0.0,36.65,1.75,285.1,154.2,3.45,799.15,172.68,107.0,26.0,True,1.1981311333160014,1.0501033921360934
Devine Ozigbo,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.85,0.8,196.45,111.35,2.2,433.75,100.67,205.0,54.0,True,0.6984935209110601,0.6121954394622453
Dion Lewis,NYG,RB,0.85,0.0,0.0,0.0,0.0,0.0,29.05,0.9,182.4,59.8,0.9,196.15,76.0,243.0,65.0,True,0.5273220183693311,0.4621719817138238
Diontae Johnson,PIT,WR,1.5,0.0,0.0,0.0,0.0,0.0,69.3,6.4,833.1,3.8,0.0,34.45,191.46,90.0,37.0,True,1.129966843446535,1.1643085213016935
Dontrelle Inman,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.5,2.7,476.2,0.0,0.0,0.0,98.32,208.0,90.0,True,0.5802691948587868,0.597904595290831
Drew Brees,NO,QB,0.85,527.4,376.2,10.0,30.3,4030.1,0.0,0.0,0.0,23.0,1.55,30.8,283.08,18.0,10.0,True,1.2580732253903426,1.7214690076782793
Drew Lock,DEN,QB,3.5,534.25,341.45,13.9,22.9,3788.75,0.0,0.0,0.0,39.05,0.6,167.9,242.64,44.0,25.0,True,1.0783484789060078,1.4755448637242394
Duke Johnson,HOU,RB,0.85,0.0,0.0,0.0,0.0,0.0,35.85,2.1,317.05,95.55,1.95,459.0,136.06,155.0,40.0,True,0.9440451818333051,0.8274094714734588
Dwayne Haskins,WAS,QB,2.5,437.6,270.4,15.4,17.6,2975.7,0.0,0.0,0.0,27.35,0.4,118.15,183.24,98.0,31.0,True,0.8143610916367331,1.114320972753172
Emmanuel Sanders,NO,WR,0.75,0.0,0.0,0.0,0.0,0.0,63.85,4.85,749.8,1.35,0.0,14.65,167.9,116.0,49.0,True,0.9909194244994947,1.021035206970408
Eric Ebron,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,46.8,4.55,517.0,0.0,0.0,0.0,125.8,172.0,23.0,True,0.9420839300925797,0.7650162539420925
Evan Engram,NYG,TE,0.75,0.0,0.0,0.0,0.0,0.0,68.55,5.0,804.75,0.0,0.0,0.0,177.52,101.0,6.0,True,1.329401743005046,1.079536449918921
Ezekiel Elliott,DAL,RB,3.3,0.0,0.0,0.0,0.0,0.0,66.0,2.8,530.2,287.0,9.3,1289.35,313.96,9.0,3.0,True,2.178395011674147,1.9092567813009487
Frank Gore,NYJ,RB,0.75,0.0,0.0,0.0,0.0,0.0,12.15,0.15,98.65,112.0,1.95,354.05,68.52,259.0,71.0,True,0.4754224302456127,0.41668452877672635
Gardner Minshew,JAC,QB,6.75,555.6,343.55,11.5,22.5,3808.55,0.0,0.0,0.0,74.75,1.4,369.1,262.65,28.0,18.0,True,1.167277563405304,1.5972298815412607
George Kittle,SF,TE,0.75,0.0,0.0,0.0,0.0,0.0,87.35,6.2,1135.5,0.0,0.0,0.0,236.6,52.0,2.0,True,1.7718367079483655,1.4388143535985618
Gerald Everett,LAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,2.75,403.0,0.0,0.0,0.0,94.85,215.0,33.0,True,0.7103073193106613,0.5768027955994235
Giovani Bernard,CIN,RB,0.75,0.0,0.0,0.0,0.0,0.0,33.3,0.35,240.15,84.95,2.4,285.15,100.83,203.0,53.0,True,0.6996036725286797,0.6131684331079585
Golden Tate,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,65.85,5.05,799.1,2.3,0.0,19.2,176.48,103.0,43.0,True,1.0415572366627208,1.0732119912217843
Greg Olsen,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,3.8,465.2,0.0,0.0,0.0,107.37,188.0,27.0,True,0.8040663877109722,0.6529395483764903
Greg Ward,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.4,2.2,435.1,2.2,0.0,10.8,94.69,216.0,94.0,True,0.5588455050974219,0.5758298019537101
Gus Edwards,BAL,RB,0.8,0.0,0.0,0.0,0.0,0.0,4.25,0.05,30.5,66.8,1.75,362.4,52.74,288.0,80.0,True,0.3659337269578753,0.3207230304682509
Hayden Hurst,ATL,TE,0.75,0.0,0.0,0.0,0.0,0.0,61.1,4.25,730.9,0.0,0.0,0.0,158.19,125.0,9.0,True,1.1846443314892305,0.9619866550961813
Henry Ruggs,LV,WR,1.0,0.0,0.0,0.0,0.0,0.0,55.8,4.8,778.3,3.6,0.1,24.6,163.49,120.0,52.0,True,0.9648922972687456,0.9942170696104349
Hunter Henry,LAC,TE,0.75,0.0,0.0,0.0,0.0,0.0,62.7,5.6,748.7,0.0,0.0,0.0,169.67,111.0,7.0,True,1.2706151066677902,1.0317989491761115
Hunter Renfrow,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.4,5.15,724.8,0.0,0.0,0.0,161.28,123.0,54.0,True,0.9518492244388237,0.9807775948790197
Ian Thomas,CAR,TE,0.75,0.0,0.0,0.0,0.0,0.0,56.6,3.9,547.35,0.0,0.0,0.0,133.24,164.0,21.0,True,0.9978001816020298,0.8102604584677616
Irv Smith,MIN,TE,0.75,0.0,0.0,0.0,0.0,0.0,47.85,2.9,463.6,0.0,0.0,0.0,110.11,183.0,24.0,True,0.8245855448528931,0.6696020645593307
Ito Smith,ATL,RB,0.8,0.0,0.0,0.0,0.0,0.0,26.85,0.25,173.4,83.85,3.75,308.25,97.42,209.0,55.0,True,0.675943566178161,0.5924315060336935
J.K. Dobbins,BAL,RB,2.4,0.0,0.0,0.0,0.0,0.0,14.9,0.85,129.1,163.6,4.65,787.25,134.74,158.0,41.0,True,0.9348864309879431,0.8193822738963239
Jack Doyle,IND,TE,0.75,0.0,0.0,0.0,0.0,0.0,53.85,4.5,551.2,0.0,0.0,0.0,134.47,160.0,19.0,True,1.0070113360854467,0.8177403471191826
Jakeem Grant,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.75,2.25,437.05,3.8,1.4,13.95,104.25,191.0,81.0,True,0.6152671233119257,0.6339661722850807
Jalen Hurts,PHI,QB,4.6,22.25,13.0,0.55,1.5,246.45,0.0,0.0,0.0,34.0,1.65,170.65,33.07,339.0,37.0,True,0.14697075584166536,0.20110562414837044
Jalen Reago,PHI,WR,1.5,0.0,0.0,0.0,0.0,0.0,45.4,3.45,646.45,1.9,0.05,9.25,128.97,169.0,73.0,True,0.7611606800339478,0.7842936905477875
Jalen Richard,LV,RB,2.55,0.0,0.0,0.0,0.0,0.0,33.9,0.4,304.55,82.45,1.8,352.85,107.74,187.0,50.0,True,0.747548345514628,0.6551895961822023
Jamaal Williams,GB,RB,0.75,0.0,0.0,0.0,0.0,0.0,25.7,1.65,185.05,67.15,1.25,256.3,85.74,230.0,60.0,True,0.594902498091927,0.5214029698966217
James Conne,PIT,RB,2.7,0.0,0.0,0.0,0.0,0.0,40.6,2.05,331.2,225.85,6.8,937.2,215.14,69.0,16.0,True,1.4927376188418142,1.3083115808672636
James Robinson,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,20.25,0.75,182.1,99.8,1.85,400.95,90.96,225.0,58.0,True,0.6311211946167679,0.5531468875880186
James Washington,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,36.15,2.45,550.2,0.0,0.0,0.0,104.37,190.0,80.0,True,0.6159753444610617,0.6346959175193656
James White,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,62.85,3.85,540.7,67.5,1.8,258.75,175.2,104.0,24.0,True,1.2156160212935105,1.065428042056078
